City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Mataura,NZ,-46.1927,168.8643,38.48,95,100,0.38,overcast clouds
Richards Bay,ZA,-28.783,32.0377,66.22,86,67,7.14,broken clouds
Flinders,AU,-34.5833,150.8552,55.38,88,95,5.99,light rain
Puerto Ayora,EC,-0.7393,-90.3518,71.55,87,58,5.99,broken clouds
Atuona,PF,-9.8,-139.0333,77.56,72,15,15.64,few clouds
Busselton,AU,-33.65,115.3333,57.81,78,67,10.85,broken clouds
Port Alfred,ZA,-33.5906,26.891,57.9,73,0,6.11,clear sky
Albany,US,42.6001,-73.9662,93.29,43,30,1.01,scattered clouds
Hobart,AU,-42.8794,147.3294,39.27,92,20,6.91,few clouds
Necochea,AR,-38.5473,-58.7368,46.15,52,85,2.53,overcast clouds
Port Hedland,AU,-20.3167,118.5667,60.85,100,0,9.22,clear sky
Vaini,TO,-21.2,-175.2,73.85,77,47,9.57,scattered clouds
Kuchurhan,UA,47.163,29.7894,67.84,49,33,8.97,scattered clouds
Saint-Pierre,RE,-21.3393,55.4781,64.29,77,75,2.3,broken clouds
Tasiilaq,GL,65.6145,-37.6368,40.62,78,77,1.61,broken clouds
Tocopilla,CL,-22.092,-70.1979,63.52,74,77,6.76,broken clouds
Cape Town,ZA,-33.9258,18.4232,54.91,85,0,6.91,clear sky
Tulnici,RO,45.9167,26.6667,62.33,40,0,4.63,clear sky
Mashhad,IR,36.297,59.6062,78.94,31,0,0.0,clear sky
Hobyo,SO,5.3505,48.5268,75.92,83,26,25.52,scattered clouds
Vardo,NO,70.3705,31.1107,57.18,88,100,6.91,light intensity shower rain
Harwich,GB,51.9419,1.2844,65.35,74,57,8.01,broken clouds
Pevek,RU,69.7008,170.3133,32.16,100,100,9.78,snow
Bandarbeyla,SO,9.4942,50.8122,75.67,84,24,28.03,few clouds
Vanavara,RU,60.34,102.2797,55.24,81,92,2.44,light rain
Bredasdorp,ZA,-34.5322,20.0403,47.84,88,100,1.92,overcast clouds
Hermanus,ZA,-34.4187,19.2345,53.62,76,100,1.81,overcast clouds
Eureka,US,40.8021,-124.1637,83.68,76,68,8.01,broken clouds
Tornio,FI,65.8481,24.1466,64.42,95,64,1.88,broken clouds
La Ronge,CA,55.1001,-105.2842,65.01,52,91,12.39,overcast clouds
Nikolskoye,RU,59.7035,30.7861,64.29,83,1,0.85,clear sky
Acapulco,MX,16.8634,-99.8901,85.87,73,88,6.71,overcast clouds
Beringovskiy,RU,63.05,179.3167,48.65,63,29,10.98,scattered clouds
Luena,AO,-11.7833,19.9167,62.85,38,62,3.24,broken clouds
Gejiu,CN,23.306,103.1635,56.97,93,99,3.2,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,33.12,80,19,16.33,few clouds
Butaritari,KI,3.0707,172.7902,80.82,75,70,5.46,light rain
Vao,NC,-22.6667,167.4833,73.38,90,10,19.75,clear sky
Karratha,AU,-20.7377,116.8463,68.59,85,0,7.81,clear sky
Broome,US,42.2506,-75.833,91.6,49,64,7.0,broken clouds
Saint-Joseph,RE,-21.3667,55.6167,63.21,81,32,13.42,light rain
Cabo San Lucas,MX,22.8909,-109.9124,98.19,58,79,13.62,broken clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,78,20,17.27,few clouds
Ushuaia,AR,-54.8,-68.3,31.66,86,40,17.27,shower snow
Longonjo,AO,-12.9067,15.2533,61.88,34,12,1.34,few clouds
Trairi,BR,-3.2778,-39.2689,76.62,83,68,9.8,broken clouds
Jamestown,US,42.097,-79.2353,85.05,49,0,7.0,clear sky
Bluff,NZ,-46.6,168.3333,37.8,83,85,9.51,overcast clouds
Hilo,US,19.7297,-155.09,82.27,89,77,4.0,broken clouds
Micheweni,TZ,-4.9667,39.8333,74.79,78,3,15.37,clear sky
Cidreira,BR,-30.1811,-50.2056,62.71,90,90,4.56,overcast clouds
Tambura,SS,5.6,27.4667,67.96,96,100,1.59,overcast clouds
Lebu,CL,-37.6167,-73.65,52.29,85,99,9.19,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,69.22,65,93,17.98,overcast clouds
Rikitea,PF,-23.1203,-134.9692,74.62,79,91,21.59,light rain
Esperance,AU,-33.8667,121.9,52.38,82,70,15.93,broken clouds
Sur,OM,22.5667,59.5289,86.5,71,77,11.5,broken clouds
Nioro,GM,13.35,-15.75,77.43,91,100,5.88,moderate rain
Manggar,ID,-2.8833,108.2667,82.15,77,100,9.62,overcast clouds
Weligama,LK,5.9667,80.4167,77.61,87,100,15.57,light rain
Castro,BR,-24.7911,-50.0119,61.34,81,28,3.36,scattered clouds
Ilulissat,GL,69.2167,-51.1,51.82,82,75,4.61,broken clouds
Ha Noi,VN,21.0245,105.8412,78.8,91,23,3.98,few clouds
Ocampo,MX,21.65,-101.5,84.02,16,45,11.45,scattered clouds
Soe,ID,-9.8607,124.284,61.41,94,98,4.18,overcast clouds
Norman Wells,CA,65.282,-126.8329,75.0,45,27,5.01,light rain
Bethel,US,41.3712,-73.414,91.35,69,58,1.01,broken clouds
Vestmannaeyjar,IS,63.4427,-20.2734,51.58,97,100,5.93,overcast clouds
Kushmurun,KZ,52.4503,64.6311,61.63,67,1,5.99,clear sky
Sirjan,IR,29.452,55.6814,80.64,25,2,3.87,clear sky
Severo-Kurilsk,RU,50.6789,156.125,53.76,96,100,26.44,heavy intensity rain
Havelock,US,34.8791,-76.9013,89.56,84,83,11.99,broken clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,71.11,80,1,13.13,clear sky
Puerto Quijarro,BO,-17.7833,-57.7667,91.63,22,100,5.28,overcast clouds
Mailsi,PK,29.8003,72.1758,82.08,81,100,8.88,moderate rain
Torbay,CA,47.6666,-52.7314,75.88,65,84,4.25,broken clouds
Gat,IL,31.61,34.7642,79.48,100,4,1.83,clear sky
Alekseyevsk,RU,57.8406,108.3492,55.45,86,100,3.24,overcast clouds
Takhtamygda,RU,54.1,123.5667,62.73,95,37,2.28,scattered clouds
Starobaltachevo,RU,56.0013,55.9213,56.21,82,12,1.1,few clouds
Port Hardy,CA,50.6996,-127.4199,59.18,82,40,12.66,scattered clouds
Southbridge,US,42.0751,-72.0334,87.3,94,88,4.0,overcast clouds
New Norfolk,AU,-42.7826,147.0587,38.91,81,3,2.55,clear sky
Kapaa,US,22.0752,-159.319,81.12,73,24,7.0,few clouds
Durban,ZA,-29.8579,31.0292,66.02,84,100,7.0,overcast clouds
Coquimbo,CL,-29.9533,-71.3436,56.71,86,34,2.3,scattered clouds
Kimbe,PG,-5.5502,150.1429,76.01,92,89,2.01,overcast clouds
Namatanai,PG,-3.6667,152.4333,79.72,79,76,5.7,broken clouds
Cairns,AU,-16.9167,145.7667,67.95,87,3,5.75,clear sky
Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.13,92,96,1.99,overcast clouds
The Valley,AI,18.217,-63.0578,86.83,77,1,18.68,clear sky
Quetigny,FR,47.3167,5.1167,75.15,57,0,4.61,clear sky
Sorong,ID,-0.8833,131.25,77.97,88,14,10.87,few clouds
Saskylakh,RU,71.9167,114.0833,48.45,72,100,7.76,overcast clouds
Chernyshevskiy,RU,63.0128,112.4714,56.16,89,82,2.86,broken clouds
Ormond Beach,US,29.2858,-81.0559,94.24,89,24,16.42,few clouds
Mandalgovi,MN,45.7625,106.2708,57.06,62,100,11.61,overcast clouds
Guerrero Negro,MX,27.9769,-114.0611,80.11,48,7,19.08,clear sky
Andenes,NO,69.3143,16.1194,55.38,82,75,5.75,broken clouds
Nakusp,CA,50.2499,-117.8023,90.48,36,18,1.14,few clouds
Acajutla,SV,13.5928,-89.8275,86.23,67,83,7.9,broken clouds
Aswan,EG,24.0934,32.907,90.01,16,4,13.33,clear sky
Salalah,OM,17.0151,54.0924,77.09,94,100,5.75,overcast clouds
Avarua,CK,-21.2078,-159.775,71.65,78,75,13.8,broken clouds
Rawson,AR,-43.3002,-65.1023,45.91,53,100,18.19,overcast clouds
East London,ZA,-33.0153,27.9116,59.32,75,4,6.06,clear sky
Sahuaripa,MX,29.05,-109.2333,96.55,39,16,3.49,few clouds
Coruripe,BR,-10.1256,-36.1756,73.49,81,61,7.56,broken clouds
Usogorsk,RU,63.4106,48.6872,61.03,69,22,4.88,few clouds
Barrow,US,71.2906,-156.7887,42.82,81,75,28.77,broken clouds
Hithadhoo,MV,-0.6,73.0833,80.74,73,99,8.01,moderate rain
Palimbang,PH,6.2106,124.1894,77.59,86,100,4.52,overcast clouds
Clyde River,CA,70.4692,-68.5914,37.67,95,100,2.66,overcast clouds
Kurilsk,RU,45.2333,147.8833,53.08,97,100,11.16,overcast clouds
Waverly,US,42.7392,-84.6208,87.58,52,0,19.19,clear sky
Schweinfurt,DE,50.05,10.2333,70.59,69,5,5.79,clear sky
Laguna,US,38.421,-121.4238,102.31,25,0,8.05,clear sky
Saint-Philippe,RE,-21.3585,55.7679,64.22,84,49,14.83,light rain
Potam,MX,27.6,-110.3833,99.97,34,1,9.1,clear sky
Assiniboia,CA,49.6334,-105.9845,83.59,23,3,13.04,clear sky
Bairiki,KI,1.3292,172.9752,82.4,83,75,4.61,broken clouds
Qianguo,CN,45.1171,124.8568,68.2,78,4,5.26,clear sky
Provideniya,RU,64.3833,-173.3,42.91,81,100,18.01,overcast clouds
Nemuro,JP,43.3236,145.575,57.97,88,0,6.04,clear sky
Faya,SA,18.3851,42.4509,68.52,63,79,3.98,broken clouds
Ancud,CL,-41.8697,-73.8203,41.23,92,100,8.08,light rain
Bataipora,BR,-22.2953,-53.2711,79.27,29,21,5.3,few clouds
Lerwick,GB,60.1545,-1.1494,50.0,84,18,9.98,few clouds
Souillac,MU,-20.5167,57.5167,69.24,70,80,15.17,broken clouds
Galich,RU,58.3797,42.3475,55.45,87,15,4.65,few clouds
Challans,FR,46.8436,-1.8749,68.2,78,9,9.75,clear sky
Harbour Breton,CA,47.4833,-55.7983,61.93,85,69,12.68,broken clouds
Thompson,CA,55.7435,-97.8558,66.36,63,75,10.36,broken clouds
Paita,PE,-5.0892,-81.1144,68.88,68,20,15.01,few clouds
Portland,US,45.5234,-122.6762,86.81,52,6,3.0,clear sky
Port Blair,IN,11.6667,92.75,79.16,88,100,5.32,light rain
Ponta Do Sol,PT,32.6667,-17.1,72.72,79,3,7.72,clear sky
Waiouru,NZ,-39.4833,175.6667,34.39,92,76,4.92,broken clouds
Pangai,TO,-19.8,-174.35,76.37,71,44,10.89,scattered clouds
Egvekinot,RU,66.3167,-179.1667,41.85,55,94,11.61,overcast clouds
Smithers,CA,54.7804,-127.1743,74.44,35,51,6.08,broken clouds
Okhotsk,RU,59.3833,143.3,58.42,87,100,4.03,overcast clouds
Srednekolymsk,RU,67.45,153.6833,50.29,46,0,9.71,clear sky
Jacmel,HT,18.2342,-72.5347,91.24,62,26,5.84,scattered clouds
Saint George,US,37.1041,-113.5841,111.63,13,0,14.97,clear sky
Bida,NG,9.0833,6.0167,75.13,89,86,2.95,light rain
Lavrentiya,RU,65.5833,-171.0,40.41,81,100,20.11,overcast clouds
Tahoua,NE,14.8888,5.2692,84.2,54,44,8.79,scattered clouds
Lasa,IT,46.6166,10.7002,68.99,83,47,2.39,scattered clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,78,52,3.33,broken clouds
Bulungu,CD,-4.55,18.6,79.83,50,80,2.21,broken clouds
Cartagena,CO,10.3997,-75.5144,82.0,79,100,8.77,overcast clouds
Faanui,PF,-16.4833,-151.75,77.31,73,11,11.52,light rain
Qiongshan,CN,20.0058,110.3542,79.38,87,1,7.2,clear sky
Port Lincoln,AU,-34.7333,135.8667,54.7,68,100,21.79,overcast clouds
Mehamn,NO,71.0357,27.8492,57.11,100,75,5.75,light rain
Gwadar,PK,25.1216,62.3254,82.67,83,93,8.34,overcast clouds
Leerdam,NL,51.8933,5.0917,63.19,83,100,4.0,overcast clouds
Kodiak,US,57.79,-152.4072,54.91,88,100,9.22,overcast clouds
Olafsvik,IS,64.8945,-23.7142,53.33,85,46,7.2,scattered clouds
Ugoofaaru,MV,5.6667,73.0,82.22,75,100,18.63,overcast clouds
San Cristobal,VE,7.7669,-72.225,75.38,64,84,6.02,broken clouds
Mount Gambier,AU,-37.8333,140.7667,47.26,86,100,7.72,overcast clouds
Qasigiannguit,GL,68.8193,-51.1922,52.05,93,100,3.87,overcast clouds
Ribeira Grande,PT,38.5167,-28.7,74.14,81,32,2.59,scattered clouds
Takab,IR,36.4009,47.1133,68.67,26,0,5.32,clear sky
Angoram,PG,-4.0625,144.0661,72.75,99,99,1.81,overcast clouds
College,US,64.8569,-147.8028,64.2,64,100,3.44,overcast clouds
Borova,UA,50.1763,30.1043,68.34,86,17,8.99,few clouds
Qaanaaq,GL,77.484,-69.3632,43.74,80,100,7.96,overcast clouds
Kaitangata,NZ,-46.2817,169.8464,43.45,89,94,2.91,overcast clouds
Dunedin,NZ,-45.8742,170.5036,46.8,87,96,5.99,overcast clouds
Marau,BR,-28.4492,-52.2,66.0,88,84,2.57,broken clouds
Kruisfontein,ZA,-34.0033,24.7314,50.11,87,0,4.16,clear sky
Kedrovyy,RU,56.1667,91.8167,57.87,87,96,3.83,overcast clouds
Kavaratti,IN,10.5669,72.642,81.0,78,100,21.45,overcast clouds
Najran,SA,17.4924,44.1277,83.17,35,68,2.51,broken clouds
Sarangani,PH,5.4033,125.4636,81.0,78,100,2.01,light rain
Tura,IN,25.5198,90.2201,74.39,97,100,3.85,overcast clouds
Ust-Karsk,RU,52.7011,118.8077,64.0,93,67,0.72,broken clouds
Kavieng,PG,-2.5744,150.7967,81.05,79,100,11.95,light rain
Poptun,GT,16.3311,-89.4169,84.92,53,66,7.02,broken clouds
Yuancheng,CN,36.652,107.7896,59.83,87,100,12.37,moderate rain
Pompeu,BR,-19.2244,-44.9353,69.55,42,10,1.01,clear sky
Dingle,PH,10.9995,122.6711,77.18,92,100,5.99,overcast clouds
Baruun-Urt,MN,46.6806,113.2792,69.28,51,97,9.53,overcast clouds
Dondo,MZ,-19.6094,34.7431,65.62,94,2,5.14,clear sky
Longyearbyen,SJ,78.2186,15.6401,49.84,87,75,3.44,broken clouds
Sindor,RU,62.8629,51.8905,64.53,58,99,0.94,overcast clouds
Dzitbalche,MX,20.3167,-90.05,103.21,22,2,3.33,clear sky
Nanortalik,GL,60.1432,-45.2371,50.31,76,2,12.88,clear sky
West Wendover,US,40.7391,-114.0733,96.01,17,0,11.5,clear sky
Sao Felix Do Xingu,BR,-6.6447,-51.995,85.5,37,15,2.68,few clouds
Chuy,UY,-33.6971,-53.4616,52.0,92,87,6.02,light rain
Sitka,US,57.0531,-135.33,57.09,82,100,4.61,overcast clouds
Sydney Mines,CA,46.2367,-60.2177,84.09,70,5,4.0,clear sky
Havoysund,NO,70.9963,24.6622,55.63,99,100,18.32,light rain
Port Elizabeth,ZA,-33.918,25.5701,55.63,77,0,5.19,clear sky
Athabasca,CA,54.7169,-113.2854,77.67,36,100,11.99,overcast clouds
Bengkulu,ID,-3.8004,102.2655,74.79,91,86,4.45,overcast clouds
Buala,SB,-8.145,159.5921,80.58,81,94,4.14,light rain
Ostrovnoy,RU,68.0531,39.5131,54.23,82,95,5.08,overcast clouds
Baykit,RU,61.67,96.37,53.91,91,31,2.66,scattered clouds
San Policarpo,PH,12.1791,125.5072,82.02,81,98,7.4,overcast clouds
La Macarena,CO,2.1837,-73.7849,72.07,98,95,2.51,overcast clouds
Uva,RU,56.9908,52.1852,54.79,92,5,1.1,clear sky
Gushikawa,JP,26.3544,127.8686,83.79,89,75,12.66,broken clouds
